Insertion,Orientation,Frequency
5785,minus,20
5786,minus,277
5787,plus,108
5790,minus,501
5791,minus,1
5793,plus,3
5795,minus,3527
5795,plus,884
5796,minus,2569
5796,plus,4073
5803,minus,31688
5803,plus,234
5804,minus,21384
5805,minus,1
5806,minus,913
5808,plus,361
5811,minus,16397
5815,minus,1757
5816,minus,9176
5816,plus,231
5821,minus,1570
5821,plus,922
5824,minus,7040
5827,minus,1
5829,minus,10889
5831,plus,17
5832,plus,1
5834,plus,37
5837,minus,155
5839,plus,1
5845,minus,1510
5846,minus,1384
5847,minus,8218
5848,minus,5
5863,plus,9
5865,minus,471
5867,plus,114
5875,minus,6995
5876,minus,600
5879,plus,170
5882,minus,1
5884,plus,2
5885,plus,271
5887,minus,11304
5888,minus,1
5889,plus,22
5892,minus,1079
5892,plus,3
5893,minus,10992
5894,minus,2
5894,plus,299
5899,minus,58
5902,minus,24182
5903,minus,1
5915,minus,989
5924,plus,107
5928,plus,78
5930,plus,67
5936,minus,2
5936,plus,145
5938,minus,1
5943,minus,12
5943,plus,76
5944,minus,19
5946,plus,158
5949,plus,74
5951,minus,2
5953,plus,117
5954,minus,28
5954,plus,99
5959,plus,190
5962,minus,15
5964,plus,443
5966,minus,10
5967,minus,9
5969,plus,44
5971,plus,3
5972,minus,124
5978,minus,23
5987,minus,1
5989,minus,1
5990,minus,7
6026,plus,58
6028,plus,249
6034,minus,79
6036,minus,235
6037,minus,19
6045,plus,143
6051,minus,1
6052,plus,393
6053,minus,130
6057,plus,149
6058,plus,6
6060,minus,64
6061,minus,168
6070,minus,33
6071,minus,57
6076,minus,12
6080,plus,109
6082,minus,10
6084,plus,4
6103,minus,52
6104,minus,10
6105,minus,25
6106,plus,33
6109,minus,52
6116,minus,135
6117,minus,1
6121,plus,123
6123,plus,7
6131,minus,112
6139,minus,11
6155,plus,47
6158,minus,61
6163,minus,120
6165,minus,12
6184,plus,6
6192,minus,260
6196,minus,145
6206,plus,5
6214,minus,181
6217,plus,52
6224,plus,6
6225,minus,434
6230,minus,241
6236,plus,8
6244,minus,756
6248,plus,64
6256,minus,762
6263,minus,4
6266,plus,3
6273,plus,7
6274,minus,28
6281,minus,118
6282,minus,133
6293,minus,1
6308,minus,4
6309,plus,10
6317,minus,283
6318,minus,13
6319,minus,55
6329,minus,1152
6338,plus,3
6343,plus,2
6352,plus,22
6353,plus,20
6362,plus,21
6365,plus,40
6416,plus,15
6417,plus,5
6423,plus,4
6431,minus,6
6436,plus,11
6445,minus,3
6449,minus,3
6450,minus,24
6462,plus,4
6468,minus,50
6469,plus,5
6477,minus,47
6485,plus,10
6497,plus,2
6502,plus,14
6505,minus,61
6506,minus,21
6508,plus,3
6513,plus,7
6516,minus,57
6518,plus,1
6521,minus,67
6526,minus,42
6527,minus,109
6541,minus,40
6543,plus,3
6545,plus,25
6546,minus,30
6551,minus,68
6558,plus,59
6563,plus,1
6566,minus,21
6568,minus,3
6569,minus,3
6571,minus,41
6612,minus,65
6617,minus,84
6624,minus,28
6634,minus,127
6635,minus,10
6637,plus,14
6651,minus,10
6660,plus,24
6668,minus,348
6669,minus,1
6682,plus,2
6690,minus,38
6715,minus,69
6721,plus,11
6726,plus,46
6731,plus,7
6734,minus,141
6739,minus,192
6740,minus,270
6746,plus,4
6754,minus,3
6768,minus,1
6768,plus,14
6776,minus,71
6777,plus,23
6785,minus,1
6786,minus,98
6798,plus,180
6800,plus,150
6803,minus,20
6806,minus,292
6808,minus,256
6815,plus,11
6817,plus,33
6822,plus,15
6823,minus,124
6826,plus,60
6831,minus,381
6834,minus,165
6875,minus,1
6880,minus,2
6893,plus,7
6894,minus,1
6910,minus,3
6949,minus,8
6956,plus,194
6964,minus,37
6969,plus,46
6990,plus,11
6998,minus,5
7001,plus,7
7013,plus,3
7018,plus,10
7021,minus,8
7031,plus,2
7039,minus,1
7051,plus,11
7061,minus,12
7064,minus,6
7069,minus,42
7079,minus,1
7082,plus,3
7102,plus,11
7110,minus,3
7115,minus,2
7117,minus,19
7124,minus,4
7135,plus,7
7144,plus,2
7150,minus,50
7151,minus,14
7167,plus,7
7175,minus,5
7180,plus,9
7187,plus,15
7188,minus,1
7197,plus,2
7208,plus,137
7211,minus,8
7216,minus,96
7230,plus,497
7238,minus,52
7243,plus,153
7244,plus,178
7251,minus,7
7264,plus,49
7270,plus,736
7272,plus,668
7278,minus,6
7285,minus,1
7285,plus,701
7287,minus,10
7292,plus,1256
7298,minus,28
7300,minus,113
7302,plus,265
7310,minus,1
7312,plus,101
7313,plus,264
7314,plus,500
7315,plus,3
7321,minus,35
7322,plus,16
7323,plus,95
7325,plus,112
7326,plus,91
7331,plus,97
7341,minus,1
7358,plus,248
7360,plus,19
7361,plus,189
7366,minus,7
7368,minus,7
7370,plus,1
7373,minus,28
7391,minus,3
7396,minus,34
7454,plus,2
7456,plus,96
7459,plus,12
7461,plus,101
7462,plus,11
7464,minus,115
7469,minus,83
7472,plus,87
7474,minus,20
7476,plus,273
7480,minus,1
7481,plus,2
7482,plus,95
7484,minus,187
7486,plus,7
7487,plus,136
7488,plus,646
7490,minus,10
7495,minus,14
7496,minus,655
7500,plus,6
7505,plus,3
7508,minus,203
7510,plus,16
7513,minus,25
7528,plus,18
7530,minus,1
7533,plus,30
7534,plus,1
7541,minus,7
7543,plus,97
7551,minus,180
7564,minus,18
7566,plus,20
7574,minus,178
7582,plus,1
7590,minus,219
7607,minus,2
7610,minus,12
7617,plus,7
7618,minus,36
7621,minus,33
7623,minus,93
7625,minus,60
7628,plus,10
7629,minus,218
7630,plus,7
7643,plus,25
7648,plus,7
7651,minus,8
7653,plus,65
7656,minus,17
7658,plus,111
7661,minus,189
7666,minus,461
7668,plus,53
7672,minus,7
7674,plus,7
7675,minus,39
7676,minus,64
7682,minus,60
7696,minus,12
7711,minus,206
7727,minus,97
7727,plus,1
7742,plus,95
7744,minus,136
7750,minus,301
7759,plus,1
7761,plus,375
7771,plus,141
7774,minus,555
7776,plus,214
7777,minus,259
7777,plus,30
7779,minus,190
7781,minus,153
7783,plus,105
7784,minus,95
7791,minus,1051
7798,plus,61
7808,minus,840
7808,plus,78
7811,minus,15
7826,minus,297
7837,plus,1
7843,plus,17
7851,minus,884
7855,minus,468
7856,minus,1
7857,plus,13
7861,plus,3
7906,minus,88
7906,plus,3
7911,plus,22
7913,plus,5
7914,minus,59
7916,minus,153
7918,plus,14
7921,minus,78
7928,plus,10
7934,minus,280
7936,minus,747
7942,minus,321
7943,plus,67
7948,plus,36
7951,minus,1788
7953,plus,12
7956,minus,1042
7961,minus,199
7966,minus,172
7969,plus,2
7971,minus,8
7977,minus,869
7982,minus,48
7987,minus,833
8000,minus,121
8005,minus,999
8007,plus,26
8013,minus,412
8015,minus,23
8024,minus,18
8030,plus,2
8031,minus,107
8041,plus,74
8045,plus,8
8049,minus,6763
8055,plus,2
8059,minus,164
8059,plus,32
8065,plus,9
8070,plus,4
8071,plus,14
8073,minus,110
8075,minus,632
8079,minus,336
8094,plus,24
8099,plus,4
8102,minus,192
8107,minus,1
8113,minus,82
8114,minus,298
8117,minus,2
8132,plus,6
8136,minus,1036
8136,plus,3
8140,minus,7366
8142,plus,13
8144,minus,453
8149,minus,70
8150,minus,3826
8171,plus,1
8174,minus,3
8193,plus,2
8194,plus,1
8198,plus,2
8199,plus,2
8201,minus,8
8207,minus,108
8207,plus,8
8218,plus,27
8226,minus,60
8226,plus,6
8227,minus,10
8228,minus,18
8232,plus,15
8240,minus,85
8246,plus,113
8254,minus,74
8262,minus,47
8267,minus,11
8267,plus,28
8268,plus,172
8270,minus,9
8276,minus,112
8288,plus,62
8296,minus,16
8297,minus,2
8303,plus,32
8311,minus,28
8322,plus,345
8326,plus,5
8330,minus,2460
8331,minus,45
8333,plus,35
8339,plus,11
8341,minus,117
8342,minus,174
8343,minus,77
8348,plus,3
8363,minus,60
8371,minus,1
8376,minus,100
8382,plus,9
8384,plus,1
8390,minus,36
8394,plus,89
8399,plus,175
8402,minus,214
8404,plus,97
8407,minus,565
8412,minus,536
8419,minus,75
8421,minus,21
8428,plus,77
8430,plus,11
8436,plus,22
8437,plus,115
8438,minus,49
8438,plus,97
8441,minus,110
8445,minus,428
8446,minus,14
8448,plus,66
8449,minus,137
8450,minus,187
8452,plus,107
8456,minus,276
8458,plus,309
8460,plus,57
8466,minus,313
8468,plus,46
8471,plus,1
8472,plus,1
8473,plus,4328
8476,minus,49
8481,minus,4574
8482,plus,46
8487,plus,102
8490,minus,44
8495,minus,57
8498,plus,431
8500,plus,86
8506,minus,166
8508,minus,11
8520,plus,292
8525,plus,339
8533,minus,103
8538,minus,157
8542,plus,732
8547,plus,1570
8549,minus,101
8549,plus,3187
8550,minus,625
8551,plus,381
8555,minus,156
8557,minus,1560
8557,plus,618
8559,plus,224
8560,minus,75
8562,minus,1
8562,plus,113
8564,plus,245
8565,minus,180
8572,minus,1024
8582,minus,185
8593,plus,639
8601,minus,93
8607,minus,48
8608,plus,161
8616,minus,316
8617,plus,61
8618,minus,51
8620,minus,64
8621,minus,339
8621,plus,25
8622,plus,15
8625,minus,162
8629,minus,693
8637,minus,25
8642,plus,346
8648,plus,127
8650,minus,83
8653,plus,1
8654,plus,861
8655,plus,138
8657,plus,274
8658,minus,36
8661,minus,35
8662,minus,104
8663,minus,19
8664,minus,15
8665,minus,174
8665,plus,37
8666,plus,12
8667,plus,67
8673,minus,3
8675,minus,7
8677,plus,110
8680,minus,18
8684,plus,1
8685,plus,784
8686,plus,45
8691,plus,1
8693,minus,995
8697,plus,49
8699,minus,156
8700,plus,228
8708,minus,64
8709,minus,11
8715,plus,53
8717,plus,7
8718,plus,34
8720,plus,17
8722,minus,85
8724,minus,12
8725,minus,25
8725,plus,117
8726,minus,52
8728,plus,61
8733,plus,46
8736,minus,138
8738,plus,255
8739,minus,28
8741,minus,92
8743,plus,1
8744,plus,62
8746,minus,131
8749,plus,24
8754,plus,107
8756,minus,248
8757,minus,124
8758,plus,19
8759,plus,225
8762,minus,107
8762,plus,4
8764,plus,11
8766,minus,214
8767,minus,664
8768,minus,7
8770,minus,175
8772,minus,301
8777,minus,27
8777,plus,286
8778,plus,164
8783,plus,21
8785,minus,1012
8786,minus,842
8789,plus,37
8791,minus,106
8792,minus,16
8793,plus,20
8797,minus,71
8802,plus,28
8806,minus,455
8807,minus,11
8809,minus,68
8810,plus,6
8811,minus,145
8812,plus,35
8813,minus,104
8817,plus,9
8818,minus,25
8820,minus,13
8825,minus,79
8832,plus,37
8833,plus,27
8838,plus,3
8840,minus,65
8846,minus,60
8846,plus,3
8847,plus,128
8855,minus,676
8859,minus,11
8860,plus,14
8861,minus,11
8867,minus,648
8868,minus,274
8879,plus,21
8887,minus,12
8889,plus,13
8892,minus,58
8893,plus,38
8895,plus,11
8897,minus,44
8898,plus,5
8900,plus,12
8901,minus,142
8903,minus,86
8903,plus,11
8904,plus,28
8906,minus,10
8908,minus,5
8908,plus,1
8912,minus,37
8920,minus,33
8928,minus,12
8929,plus,1
8930,plus,2
8936,minus,98
8937,minus,78
8938,minus,73
8942,plus,1
8947,plus,36
8952,plus,4
8954,minus,2448
8954,plus,4
8955,minus,13
8956,minus,132
8956,plus,18
8960,minus,14
8962,minus,3
8962,plus,41
8964,minus,92
8965,minus,20
8969,minus,43
8969,plus,12
8970,minus,294
8971,plus,119
8974,plus,349
8976,plus,89
8977,plus,284
8979,minus,58
8982,minus,22
8982,plus,429
8984,plus,5069
8987,plus,23
8989,plus,1
8990,minus,101
8992,minus,3669
8994,plus,371
8995,plus,292
8997,minus,109
8999,plus,1040
9001,minus,39
9002,minus,121
9005,plus,264
9006,plus,537
9007,plus,93
9008,minus,1
9008,plus,287
9013,minus,685
9014,plus,741
9015,plus,187
9017,plus,288
9018,plus,591
9020,minus,3
9024,minus,11
9024,plus,268
9025,minus,1298
9026,minus,554
9029,plus,413
9031,minus,153
9033,minus,112
9037,minus,182
9038,plus,307
9040,minus,109
9041,minus,24
9041,plus,118
9046,plus,46
9048,plus,490
9051,minus,2
9051,plus,239
9053,plus,178
9056,minus,956
9056,plus,1569
9057,plus,445
9058,plus,3561
9059,plus,1747
9061,plus,508
9064,minus,432
9064,plus,3930
9065,plus,2
9066,minus,417
9066,plus,923
9067,plus,158
9071,plus,300
9072,minus,461
9073,minus,1
9074,minus,143
9075,minus,54
9075,plus,411
9076,plus,955
9077,plus,6327
9079,minus,232
9080,minus,125
9081,minus,8
9084,minus,409
9085,minus,389
9085,plus,474
9087,plus,319
9088,plus,327
9092,plus,948
9093,plus,122
9098,plus,11
9099,minus,3
9100,minus,140
9101,minus,104
9102,plus,1458
9106,minus,281
9107,plus,81
9109,plus,354
9114,minus,17
9114,plus,230
9116,minus,156
9116,plus,341
9117,minus,405
9117,plus,135
9118,plus,587
9123,plus,131
9124,minus,1821
9124,plus,297
9125,minus,108
9126,minus,43
9126,plus,226
9129,plus,1885
9131,minus,88
9132,minus,206
9134,minus,150
9134,plus,1464
9137,minus,118
9139,plus,6453
9140,plus,315
9142,minus,9
9142,plus,1
9143,minus,11
9143,plus,6
9144,plus,92596
9146,plus,110
9147,minus,298
9150,plus,2528
9152,minus,2968
9153,minus,83
9154,plus,1
9155,plus,4490
9156,plus,58
9157,minus,26
9157,plus,675
9158,minus,25
9163,minus,506
9164,minus,348
9165,minus,52
9168,plus,1921
9169,plus,1293
9173,minus,42
9173,plus,728
9175,minus,378
9176,minus,38
9177,minus,1
9178,plus,54
9181,minus,36
9183,plus,8602
9186,minus,43
9188,plus,1
9191,minus,1197
9192,plus,798
9202,plus,2613
9203,plus,237
9210,minus,20
9215,plus,398
9216,plus,42
9217,plus,4066
9218,plus,1379
9221,minus,20
9223,minus,56
9224,minus,16
9225,minus,341
9226,minus,271
9227,minus,6
9228,minus,42
9231,plus,1931
9233,minus,41
9239,minus,271
9240,minus,146
9242,plus,331
9247,plus,303
9250,minus,19
9252,plus,212
9253,plus,20
9255,minus,26
9260,minus,104
9261,plus,343
9263,plus,639
9264,plus,326
9269,minus,15
9269,plus,798
9270,plus,415
9271,plus,537
9272,minus,1
9274,plus,92
9276,plus,58
9277,minus,10
9278,minus,3
9279,minus,13
9281,plus,485
9283,plus,50
9288,plus,1
9289,minus,1
9289,plus,1518
9290,plus,2
9291,minus,5
9291,plus,1024
9292,plus,644
9297,minus,91
9297,plus,128
9299,minus,87
9300,minus,33
9302,plus,6
9305,minus,4
9306,plus,114
9311,plus,10
9314,minus,1
9315,minus,1
9318,plus,80
9320,plus,60
9322,plus,1130
9326,minus,3
9327,plus,105
9328,plus,106
9329,plus,43
9330,minus,32
9330,plus,142
9335,plus,64
9336,minus,7
9338,minus,3
9339,plus,41
9340,plus,842
9343,minus,2
9344,minus,4
9347,plus,5
9348,minus,122
9348,plus,45
9349,plus,52
9353,minus,3
9355,minus,1
9357,minus,2
9359,plus,55
9362,plus,26
9363,minus,1
9367,minus,19
9368,plus,124
9370,minus,10
9372,minus,24
9372,plus,57
9377,minus,8
9378,plus,6
9379,plus,7
9382,plus,291
9386,minus,17
9386,plus,73
9387,minus,2
9387,plus,24
9390,minus,45
9390,plus,10
9393,plus,5
9394,minus,29
9395,minus,2
9396,minus,2
9396,plus,103
9397,plus,147
9398,plus,28
9400,minus,1
9400,plus,69
9404,minus,25
9405,minus,49
9407,plus,661
9408,minus,2
9412,plus,16
9414,minus,11
9415,minus,268
9415,plus,405
9422,minus,21
9423,minus,409
9425,plus,703
9433,minus,627
9437,plus,22
9442,plus,2786
9444,plus,44
9445,minus,91
9445,plus,3
9447,minus,4
9447,plus,43
9448,minus,2
9450,minus,6120
9452,minus,407
9452,plus,157
9453,minus,22
9453,plus,11
9455,minus,6
9458,minus,45
9458,plus,37
9460,minus,262
9460,plus,148
9461,minus,6
9466,minus,100
9468,minus,433
9475,plus,72
9476,plus,30
9478,minus,16
9479,plus,9
9483,minus,306
9484,minus,246
9484,plus,98
9485,plus,83
9487,minus,430
9489,plus,88
9492,minus,636
9493,minus,215
9494,plus,1
9497,minus,494
9498,minus,107
9499,minus,3
9500,plus,10
9501,plus,7
9502,minus,29
9504,plus,3
9508,minus,31
9509,minus,1
9509,plus,33
9510,minus,139
9510,plus,44
9512,minus,30
9514,minus,64
9514,plus,2
9515,minus,11
9517,minus,736
9517,plus,8
9518,minus,314
9520,plus,5
9525,minus,1
9528,minus,18
9532,minus,24
9533,plus,6
9541,minus,19
9545,plus,4
9546,minus,74
9551,minus,25
9553,minus,128
9557,minus,50
9564,minus,171
9564,plus,1
9567,minus,127
9572,minus,3
9574,minus,31
9578,plus,3
9584,minus,185
9584,plus,1
9585,plus,1
9586,minus,160
9589,minus,137
9590,plus,76
9595,minus,2
9596,minus,160
9598,minus,2738
9600,minus,11
9605,minus,245
9606,minus,99
9608,plus,4
9615,plus,30
9620,minus,6
9622,plus,19
9623,minus,99
9627,plus,7
9630,minus,447
9633,plus,2
9635,minus,10
9636,plus,16
9637,plus,3
9638,plus,1
9643,plus,71
9644,minus,88
9644,plus,4
9645,minus,1238
9645,plus,1
9648,plus,36
9650,plus,8
9651,minus,2225
9654,minus,272
9656,minus,471
9658,plus,1
9659,plus,72
9663,minus,212
9666,minus,108
9667,minus,45
9667,plus,24
9668,plus,34
9671,minus,404
9672,minus,1
9674,plus,11
9675,minus,684
9676,minus,15
9677,plus,33
9678,plus,16
9681,minus,106
9682,minus,458
9682,plus,120
9684,plus,4
9685,minus,953
9686,minus,327
9688,minus,6
9688,plus,2
9689,minus,432
9689,plus,42
9690,minus,5512
9692,minus,58
9695,minus,14
9696,minus,10
9696,plus,39
9697,minus,1958
9698,minus,406
9700,minus,211
9701,plus,1
9702,plus,79
9703,plus,125
9704,minus,2673
9706,plus,23
9708,minus,186
9708,plus,47
9710,minus,4819
9711,minus,3681
9711,plus,5
9712,minus,476
9714,minus,1981
9716,minus,2372
9717,minus,669
9721,plus,1
9727,minus,955
9729,minus,313
9729,plus,62
9733,minus,1
9735,minus,2152
9737,minus,2777
9739,plus,83
9740,plus,1
9742,minus,329
9744,plus,17
9745,plus,29
9746,minus,2554
9747,minus,12031
9748,minus,2924
9749,plus,1
9752,minus,2993
9753,minus,6856
9755,plus,8
9756,plus,23
9757,minus,246
9761,plus,192
9763,minus,791
9763,plus,141
9764,plus,58
9769,minus,5500
9769,plus,3
9771,minus,9737
9771,plus,61
9772,minus,1324
9772,plus,160
9773,minus,31
9774,minus,40
9774,plus,80
9777,minus,2463
9779,minus,1456
9779,plus,370
9780,minus,1
9782,minus,1429
9784,plus,1155
9786,plus,171
9787,minus,3850
9789,plus,219
9792,minus,52153
9793,plus,47
9794,minus,9512
9795,minus,3
9795,plus,12
9796,minus,904
9797,minus,9320
9797,plus,272
9798,plus,117
9799,plus,243
9800,plus,2
9803,minus,3
9803,plus,34
9804,plus,262
9805,minus,1652
9805,plus,188
9806,minus,4050
9807,minus,4593
9808,minus,2308
9810,minus,508
9810,plus,133
9811,plus,3024
9812,minus,1432
9813,minus,15088
9815,minus,540
9815,plus,157
9816,plus,851
9817,minus,1
9817,plus,90
9818,minus,2293
9818,plus,31
9819,minus,105561
9820,minus,474
9820,plus,278
9821,plus,53
9822,plus,479
9823,minus,4897
9824,minus,9329
9825,minus,2856
9825,plus,109
9826,minus,903
9826,plus,313
9827,plus,44
9828,minus,14399
9829,minus,2575
9830,minus,4468
9830,plus,165
9831,plus,216
9833,minus,4225
9834,minus,3781
9835,minus,874
9835,plus,11
9836,plus,1
9837,plus,48
9838,minus,9063
9838,plus,74
9839,minus,185
9840,plus,133
9844,minus,3718
9844,plus,44
9845,minus,2357
9846,minus,1868
9848,minus,1582
9848,plus,2
9849,plus,681
9850,plus,15
9854,plus,2
9855,plus,73
9857,minus,5085
9858,minus,1
9861,plus,117
9862,plus,309
9867,plus,26
9870,minus,1634
9871,plus,56
9875,plus,68
9877,plus,360
9880,minus,16
9883,minus,8
9885,minus,20
9887,plus,29
9889,plus,486
9890,plus,1313
9892,plus,281
9894,plus,231
9895,minus,37
9895,plus,83
9897,minus,179
9898,minus,965
9900,minus,186
9900,plus,136
9902,minus,311
9902,plus,44
9903,minus,51
9905,plus,34
9908,minus,166
9908,plus,139
9910,minus,54
9910,plus,2198
9913,minus,74
9913,plus,2
9916,minus,51
9918,minus,1839
9925,minus,2
9926,plus,770
9928,minus,7
9929,plus,121
9934,minus,1082
9934,plus,21
9937,minus,775
9939,minus,71
9958,plus,574
9959,plus,20
9965,plus,144
9966,minus,1171
9966,plus,56
9968,minus,94
9969,plus,25
9970,plus,158
9973,minus,93
9977,minus,185
9978,minus,346
9980,plus,15
9981,plus,73
9982,minus,1
9982,plus,26
9985,minus,33
9986,plus,226
9987,plus,270
9988,minus,52
9989,minus,133
9990,minus,5
9992,plus,320
9993,plus,315
9994,minus,144
9994,plus,246
9995,minus,133
9998,plus,153
9999,plus,54
10000,minus,255
10000,plus,131
10001,minus,201
10001,plus,3
10002,minus,48
10004,plus,2
10005,plus,88
10006,minus,48
10006,plus,97
10007,plus,392
10008,minus,90
10008,plus,105
10009,minus,2
10012,minus,1
10012,plus,121
10013,minus,73
10013,plus,10
10014,minus,102
10014,plus,27
10015,minus,212
10016,minus,32
10017,plus,14
10018,plus,437
10020,minus,23
10021,minus,10
10023,plus,88
10024,plus,274
10025,minus,33
10025,plus,1
10026,minus,279
10027,minus,1
10030,plus,2
10031,minus,57
10032,minus,160
10033,minus,7
10034,plus,103
10035,plus,34
10036,plus,110
10038,minus,5
10040,plus,149
10042,minus,290
10043,minus,20
10045,plus,93
10047,plus,6
10048,minus,294
10048,plus,27
10049,minus,14
10049,plus,12
10050,plus,8
10053,minus,189
10055,minus,2
10055,plus,308
10056,minus,7
10056,plus,9
10057,plus,24
10058,plus,1
10061,plus,19
10063,minus,362
10063,plus,4
10064,minus,2
10065,minus,112
10069,minus,10
10069,plus,2
10071,minus,6
10078,minus,7
10096,plus,3
10102,plus,4
10104,minus,35
10108,plus,5
10112,plus,35
10113,plus,56
10114,plus,17
10116,plus,4
10118,plus,4
10119,plus,1
10120,minus,529
10121,minus,322
10122,minus,62
10123,plus,9
10124,minus,21
10124,plus,15
10126,minus,67
10127,minus,1
10128,minus,26
10130,minus,10
10131,minus,164
10132,minus,189
10132,plus,20
10133,plus,1
10134,plus,6
10138,plus,75
10140,minus,30
10142,minus,383
10146,minus,85
10148,plus,37
10152,plus,3
10156,minus,427
10157,plus,15
10158,plus,3
10160,minus,21
10164,plus,120
10165,minus,123
10167,minus,18
10169,plus,9
10172,minus,905
10177,minus,201
10191,plus,1
10192,plus,29
10194,plus,4
10196,plus,9
10199,minus,53
10200,minus,5
10201,plus,1
10202,minus,36
10202,plus,45
10203,plus,71
10204,minus,317
10209,minus,164
10210,minus,802
10211,minus,519
10213,plus,36
10215,plus,18
10218,plus,2
10219,minus,21
10220,plus,47
10221,minus,514
10223,plus,11
10226,minus,201
10228,minus,105
10231,minus,14
10233,plus,4
10236,minus,36
10247,minus,43
10248,plus,2
10249,minus,4
10249,plus,6
10250,plus,8
10254,plus,697
10255,plus,6
10257,minus,39
10259,plus,6
10262,minus,3660
10263,minus,90
10264,plus,65
10267,minus,75
10269,plus,174
10270,plus,87
10272,minus,37
10274,plus,49
10275,plus,20
10277,minus,118
10282,minus,116
10283,minus,11
10285,plus,67
10286,plus,130
10287,plus,327
10288,minus,80
10289,minus,19
10292,plus,55
10293,minus,45
10294,minus,169
10295,minus,760
10296,plus,2
10297,plus,15
10300,minus,44
10304,minus,15
10305,minus,113
10306,plus,17
10309,minus,28
10311,plus,66
10312,minus,11
10314,minus,9
10316,plus,112
10317,minus,12
10319,minus,453
10321,plus,6
10324,minus,415
10325,minus,8
10326,minus,29
10326,plus,27
10328,plus,4
10329,minus,15
10334,minus,56
10335,plus,8
10338,minus,8
10340,plus,127
10343,minus,93
10344,plus,58
10345,plus,13
10346,plus,19
10348,minus,48
10352,minus,11
10353,minus,79
10354,plus,54
10357,plus,116
10360,minus,4
10362,minus,21
10363,plus,12
10365,minus,54
10367,minus,6
10367,plus,134
10371,minus,3
10371,plus,44
10372,plus,26
10375,minus,50
10377,plus,71
